Question,Segment Type,Segment Description,Answer,Count,Percentage
What do you think when an influencer is obviously selling a product?,University,University of Richmond,Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,University,University of Richmond,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,University of North Carolina,Is this product cool?,8,0.222
What do you think when an influencer is obviously selling a product?,University,University of North Carolina,This is lame,18,0.5
What do you think when an influencer is obviously selling a product?,University,University of North Carolina,Get that money! ,8,0.222
What do you think when an influencer is obviously selling a product?,University,University of North Carolina,Other (comment) ,2,0.056
What do you think when an influencer is obviously selling a product?,University,Stanford University,Is this product cool?,0,0.0
What do you think when an influencer is obviously selling a product?,University,Stanford University,This is lame,1,0.333
What do you think when an influencer is obviously selling a product?,University,Stanford University,Get that money! ,1,0.333
What do you think when an influencer is obviously selling a product?,University,Stanford University,Other (comment) ,1,0.333
What do you think when an influencer is obviously selling a product?,University,University of Arkansas,Is this product cool?,0,0.0
What do you think when an influencer is obviously selling a product?,University,University of Arkansas,This is lame,3,0.5
What do you think when an influencer is obviously selling a product?,University,University of Arkansas,Get that money! ,2,0.333
What do you think when an influencer is obviously selling a product?,University,University of Arkansas,Other (comment) ,1,0.167
What do you think when an influencer is obviously selling a product?,University,Indiana University,Is this product cool?,5,0.135
What do you think when an influencer is obviously selling a product?,University,Indiana University,This is lame,21,0.568
What do you think when an influencer is obviously selling a product?,University,Indiana University,Get that money! ,9,0.243
What do you think when an influencer is obviously selling a product?,University,Indiana University,Other (comment) ,2,0.054
What do you think when an influencer is obviously selling a product?,University,Whitman College,Is this product cool?,4,0.444
What do you think when an influencer is obviously selling a product?,University,Whitman College,This is lame,3,0.333
What do you think when an influencer is obviously selling a product?,University,Whitman College,Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Whitman College,Other (comment) ,2,0.222
What do you think when an influencer is obviously selling a product?,University,University of Wisconsin-Madison,Is this product cool?,15,0.214
What do you think when an influencer is obviously selling a product?,University,University of Wisconsin-Madison,This is lame,32,0.457
What do you think when an influencer is obviously selling a product?,University,University of Wisconsin-Madison,Get that money! ,12,0.171
What do you think when an influencer is obviously selling a product?,University,University of Wisconsin-Madison,Other (comment) ,11,0.157
What do you think when an influencer is obviously selling a product?,University,Santa Clara University,Is this product cool?,1,0.333
What do you think when an influencer is obviously selling a product?,University,Santa Clara University,This is lame,2,0.667
What do you think when an influencer is obviously selling a product?,University,Santa Clara University,Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Santa Clara University,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,University of Arizona,Is this product cool?,3,0.12
What do you think when an influencer is obviously selling a product?,University,University of Arizona,This is lame,8,0.32
What do you think when an influencer is obviously selling a product?,University,University of Arizona,Get that money! ,12,0.48
What do you think when an influencer is obviously selling a product?,University,University of Arizona,Other (comment) ,2,0.08
What do you think when an influencer is obviously selling a product?,University,University of Michigan,Is this product cool?,1,0.05
What do you think when an influencer is obviously selling a product?,University,University of Michigan,This is lame,15,0.75
What do you think when an influencer is obviously selling a product?,University,University of Michigan,Get that money! ,4,0.2
What do you think when an influencer is obviously selling a product?,University,University of Michigan,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,University of Illinois,Is this product cool?,20,0.323
What do you think when an influencer is obviously selling a product?,University,University of Illinois,This is lame,22,0.355
What do you think when an influencer is obviously selling a product?,University,University of Illinois,Get that money! ,12,0.194
What do you think when an influencer is obviously selling a product?,University,University of Illinois,Other (comment) ,8,0.129
What do you think when an influencer is obviously selling a product?,University,Missouri State University,Is this product cool?,4,0.4
What do you think when an influencer is obviously selling a product?,University,Missouri State University,This is lame,4,0.4
What do you think when an influencer is obviously selling a product?,University,Missouri State University,Get that money! ,1,0.1
What do you think when an influencer is obviously selling a product?,University,Missouri State University,Other (comment) ,1,0.1
What do you think when an influencer is obviously selling a product?,University,University of Texas,Is this product cool?,5,0.455
What do you think when an influencer is obviously selling a product?,University,University of Texas,This is lame,1,0.091
What do you think when an influencer is obviously selling a product?,University,University of Texas,Get that money! ,5,0.455
What do you think when an influencer is obviously selling a product?,University,University of Texas,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Randolph-Macon College,Is this product cool?,0,0.0
What do you think when an influencer is obviously selling a product?,University,Randolph-Macon College,This is lame,0,0.0
What do you think when an influencer is obviously selling a product?,University,Randolph-Macon College,Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Randolph-Macon College,Other (comment) ,1,1.0
What do you think when an influencer is obviously selling a product?,University,Cornell University,Is this product cool?,18,0.22
What do you think when an influencer is obviously selling a product?,University,Cornell University,This is lame,31,0.378
What do you think when an influencer is obviously selling a product?,University,Cornell University,Get that money! ,25,0.305
What do you think when an influencer is obviously selling a product?,University,Cornell University,Other (comment) ,8,0.098
What do you think when an influencer is obviously selling a product?,University,San Diego State University,Is this product cool?,25,0.255
What do you think when an influencer is obviously selling a product?,University,San Diego State University,This is lame,46,0.469
What do you think when an influencer is obviously selling a product?,University,San Diego State University,Get that money! ,19,0.194
What do you think when an influencer is obviously selling a product?,University,San Diego State University,Other (comment) ,8,0.082
What do you think when an influencer is obviously selling a product?,University,Vassar College,Is this product cool?,0,0.0
What do you think when an influencer is obviously selling a product?,University,Vassar College,This is lame,1,1.0
What do you think when an influencer is obviously selling a product?,University,Vassar College,Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Vassar College,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Loyola Marymount University,Is this product cool?,0,0.0
What do you think when an influencer is obviously selling a product?,University,Loyola Marymount University,This is lame,1,1.0
What do you think when an influencer is obviously selling a product?,University,Loyola Marymount University,Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Loyola Marymount University,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,North Dakota State University,Is this product cool?,1,0.25
What do you think when an influencer is obviously selling a product?,University,North Dakota State University,This is lame,0,0.0
What do you think when an influencer is obviously selling a product?,University,North Dakota State University,Get that money! ,2,0.5
What do you think when an influencer is obviously selling a product?,University,North Dakota State University,Other (comment) ,1,0.25
What do you think when an influencer is obviously selling a product?,University,Claremont McKenna College,Is this product cool?,9,0.209
What do you think when an influencer is obviously selling a product?,University,Claremont McKenna College,This is lame,17,0.395
What do you think when an influencer is obviously selling a product?,University,Claremont McKenna College,Get that money! ,12,0.279
What do you think when an influencer is obviously selling a product?,University,Claremont McKenna College,Other (comment) ,5,0.116
What do you think when an influencer is obviously selling a product?,University,Duke University,Is this product cool?,1,0.333
What do you think when an influencer is obviously selling a product?,University,Duke University,This is lame,2,0.667
What do you think when an influencer is obviously selling a product?,University,Duke University,Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Duke University,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Chapman University,Is this product cool?,1,0.2
What do you think when an influencer is obviously selling a product?,University,Chapman University,This is lame,2,0.4
What do you think when an influencer is obviously selling a product?,University,Chapman University,Get that money! ,2,0.4
What do you think when an influencer is obviously selling a product?,University,Chapman University,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,College of William and Mary,Is this product cool?,12,0.171
What do you think when an influencer is obviously selling a product?,University,College of William and Mary,This is lame,36,0.514
What do you think when an influencer is obviously selling a product?,University,College of William and Mary,Get that money! ,19,0.271
What do you think when an influencer is obviously selling a product?,University,College of William and Mary,Other (comment) ,3,0.043
What do you think when an influencer is obviously selling a product?,University,University of Virginia,Is this product cool?,36,0.2
What do you think when an influencer is obviously selling a product?,University,University of Virginia,This is lame,79,0.439
What do you think when an influencer is obviously selling a product?,University,University of Virginia,Get that money! ,53,0.294
What do you think when an influencer is obviously selling a product?,University,University of Virginia,Other (comment) ,12,0.067
What do you think when an influencer is obviously selling a product?,University,SF,Is this product cool?,0,0.0
What do you think when an influencer is obviously selling a product?,University,SF,This is lame,1,1.0
What do you think when an influencer is obviously selling a product?,University,SF,Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,University,SF,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Northwestern University,Is this product cool?,10,0.127
What do you think when an influencer is obviously selling a product?,University,Northwestern University,This is lame,47,0.595
What do you think when an influencer is obviously selling a product?,University,Northwestern University,Get that money! ,20,0.253
What do you think when an influencer is obviously selling a product?,University,Northwestern University,Other (comment) ,2,0.025
What do you think when an influencer is obviously selling a product?,University,University of New Hampshire,Is this product cool?,1,0.125
What do you think when an influencer is obviously selling a product?,University,University of New Hampshire,This is lame,2,0.25
What do you think when an influencer is obviously selling a product?,University,University of New Hampshire,Get that money! ,4,0.5
What do you think when an influencer is obviously selling a product?,University,University of New Hampshire,Other (comment) ,1,0.125
What do you think when an influencer is obviously selling a product?,University,Butler University,Is this product cool?,2,0.2
What do you think when an influencer is obviously selling a product?,University,Butler University,This is lame,5,0.5
What do you think when an influencer is obviously selling a product?,University,Butler University,Get that money! ,2,0.2
What do you think when an influencer is obviously selling a product?,University,Butler University,Other (comment) ,1,0.1
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Capricorn (Dec 22 - Jan 19),Is this product cool?,9,0.36
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Capricorn (Dec 22 - Jan 19),This is lame,12,0.48
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Capricorn (Dec 22 - Jan 19),Get that money! ,4,0.16
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Capricorn (Dec 22 - Jan 19),Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Sagittarius (Nov 22 - Dec 21),Is this product cool?,10,0.417
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Sagittarius (Nov 22 - Dec 21),This is lame,6,0.25
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Sagittarius (Nov 22 - Dec 21),Get that money! ,7,0.292
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Sagittarius (Nov 22 - Dec 21),Other (comment) ,1,0.042
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Scorpio (Oct 23 - Nov 21),Is this product cool?,3,0.103
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Scorpio (Oct 23 - Nov 21),This is lame,14,0.483
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Scorpio (Oct 23 - Nov 21),Get that money! ,11,0.379
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Scorpio (Oct 23 - Nov 21),Other (comment) ,1,0.034
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Libra (Sep 23 - Oct 22),Is this product cool?,1,0.05
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Libra (Sep 23 - Oct 22),This is lame,12,0.6
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Libra (Sep 23 - Oct 22),Get that money! ,5,0.25
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Libra (Sep 23 - Oct 22),Other (comment) ,2,0.1
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Leo (Jul 23 - Aug 22),Is this product cool?,10,0.27
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Leo (Jul 23 - Aug 22),This is lame,16,0.432
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Leo (Jul 23 - Aug 22),Get that money! ,5,0.135
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Leo (Jul 23 - Aug 22),Other (comment) ,6,0.162
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Cancer (Jun 21 - Jul 22),Is this product cool?,10,0.357
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Cancer (Jun 21 - Jul 22),This is lame,12,0.429
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Cancer (Jun 21 - Jul 22),Get that money! ,2,0.071
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Cancer (Jun 21 - Jul 22),Other (comment) ,4,0.143
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Gemini (May 21 - Jun 20),Is this product cool?,4,0.148
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Gemini (May 21 - Jun 20),This is lame,16,0.593
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Gemini (May 21 - Jun 20),Get that money! ,6,0.222
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Gemini (May 21 - Jun 20),Other (comment) ,1,0.037
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Aquarius (Jan 20-Feb 18),Is this product cool?,7,0.226
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Aquarius (Jan 20-Feb 18),This is lame,12,0.387
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Aquarius (Jan 20-Feb 18),Get that money! ,7,0.226
What do you think when an influencer is obviously selling a product?,Custom,your zodiac sign? Aquarius (Jan 20-Feb 18),Other (comment) ,5,0.161
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Other,Is this product cool?,11,0.183
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Other,This is lame,29,0.483
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Other,Get that money! ,14,0.233
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Other,Other (comment) ,6,0.1
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Business/Econ/Finance,Is this product cool?,15,0.19
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Business/Econ/Finance,This is lame,33,0.418
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Business/Econ/Finance,Get that money! ,28,0.354
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Business/Econ/Finance,Other (comment) ,3,0.038
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Pre-med,Is this product cool?,18,0.212
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Pre-med,This is lame,45,0.529
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Pre-med,Get that money! ,18,0.212
What do you think when an influencer is obviously selling a product?,Custom,What's your major? Pre-med,Other (comment) ,4,0.047
What do you think when an influencer is obviously selling a product?,Custom,What's your major? ME/EE/other engineer,Is this product cool?,32,0.248
What do you think when an influencer is obviously selling a product?,Custom,What's your major? ME/EE/other engineer,This is lame,50,0.388
What do you think when an influencer is obviously selling a product?,Custom,What's your major? ME/EE/other engineer,Get that money! ,37,0.287
What do you think when an influencer is obviously selling a product?,Custom,What's your major? ME/EE/other engineer,Other (comment) ,10,0.078
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 3.0 to 4.0,Is this product cool?,156,0.207
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 3.0 to 4.0,This is lame,356,0.473
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 3.0 to 4.0,Get that money! ,184,0.245
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 3.0 to 4.0,Other (comment) ,56,0.074
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 2.0 to 3.0,Is this product cool?,53,0.301
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 2.0 to 3.0,This is lame,67,0.381
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 2.0 to 3.0,Get that money! ,43,0.244
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 2.0 to 3.0,Other (comment) ,13,0.074
What do you think when an influencer is obviously selling a product?,Custom,"have a job? Yes, full-time",Is this product cool?,9,0.2
What do you think when an influencer is obviously selling a product?,Custom,"have a job? Yes, full-time",This is lame,24,0.533
What do you think when an influencer is obviously selling a product?,Custom,"have a job? Yes, full-time",Get that money! ,11,0.244
What do you think when an influencer is obviously selling a product?,Custom,"have a job? Yes, full-time",Other (comment) ,1,0.022
What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Other 🐧,Is this product cool?,7,0.333
What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Other 🐧,This is lame,6,0.286
What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Other 🐧,Get that money! ,4,0.19
What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Other 🐧,Other (comment) ,4,0.19
What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Mac 🖥,Is this product cool?,152,0.222
What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Mac 🖥,This is lame,310,0.453
What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Mac 🖥,Get that money! ,175,0.255
What do you think when an influencer is obviously selling a product?,Custom,Mac or PC? Mac 🖥,Other (comment) ,48,0.07
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 1.0 to 2.0,Is this product cool?,2,0.2
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 1.0 to 2.0,This is lame,4,0.4
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 1.0 to 2.0,Get that money! ,2,0.2
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? 1.0 to 2.0,Other (comment) ,2,0.2
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? Below 1.0 😁,Is this product cool?,2,0.118
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? Below 1.0 😁,This is lame,7,0.412
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? Below 1.0 😁,Get that money! ,7,0.412
What do you think when an influencer is obviously selling a product?,Custom,What's your GPA? Below 1.0 😁,Other (comment) ,1,0.059
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Some other language (comment),Is this product cool?,2,0.111
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Some other language (comment),This is lame,8,0.444
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Some other language (comment),Get that money! ,5,0.278
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Some other language (comment),Other (comment) ,3,0.167
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Both,Is this product cool?,1,0.091
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Both,This is lame,6,0.545
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Both,Get that money! ,4,0.364
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Both,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Spanish,Is this product cool?,1,0.25
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Spanish,This is lame,3,0.75
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Spanish,Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? Spanish,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? English,Is this product cool?,81,0.229
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? English,This is lame,161,0.455
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? English,Get that money! ,80,0.226
What do you think when an influencer is obviously selling a product?,Custom,grow up speaking? English,Other (comment) ,32,0.09
What do you think when an influencer is obviously selling a product?,Custom,"have a job? Nope, and not looking for one",Is this product cool?,99,0.227
What do you think when an influencer is obviously selling a product?,Custom,"have a job? Nope, and not looking for one",This is lame,200,0.459
What do you think when an influencer is obviously selling a product?,Custom,"have a job? Nope, and not looking for one",Get that money! ,107,0.245
What do you think when an influencer is obviously selling a product?,Custom,"have a job? Nope, and not looking for one",Other (comment) ,30,0.069
What do you think when an influencer is obviously selling a product?,Custom,games a lot? No,Is this product cool?,9,0.391
What do you think when an influencer is obviously selling a product?,Custom,games a lot? No,This is lame,11,0.478
What do you think when an influencer is obviously selling a product?,Custom,games a lot? No,Get that money! ,1,0.043
What do you think when an influencer is obviously selling a product?,Custom,games a lot? No,Other (comment) ,2,0.087
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, mobile mostly",Is this product cool?,0,0.0
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, mobile mostly",This is lame,1,1.0
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, mobile mostly",Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, mobile mostly",Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, PC mostly",Is this product cool?,3,0.158
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, PC mostly",This is lame,10,0.526
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, PC mostly",Get that money! ,4,0.211
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, PC mostly",Other (comment) ,2,0.105
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, console mostly",Is this product cool?,6,0.24
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, console mostly",This is lame,9,0.36
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, console mostly",Get that money! ,7,0.28
What do you think when an influencer is obviously selling a product?,Custom,"games a lot? Yes, console mostly",Other (comment) ,3,0.12
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2017,Is this product cool?,26,0.236
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2017,This is lame,52,0.473
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2017,Get that money! ,26,0.236
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2017,Other (comment) ,6,0.055
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2018,Is this product cool?,46,0.21
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2018,This is lame,111,0.507
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2018,Get that money! ,47,0.215
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2018,Other (comment) ,15,0.068
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2019,Is this product cool?,107,0.219
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2019,This is lame,203,0.416
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2019,Get that money! ,135,0.277
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2019,Other (comment) ,43,0.088
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2020,Is this product cool?,48,0.239
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2020,This is lame,88,0.438
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2020,Get that money! ,47,0.234
What do you think when an influencer is obviously selling a product?,Custom,Graduation Year 2020,Other (comment) ,18,0.09
What do you think when an influencer is obviously selling a product?,Custom,your parents make? Upper class (> $240K),Is this product cool?,33,0.219
What do you think when an influencer is obviously selling a product?,Custom,your parents make? Upper class (> $240K),This is lame,71,0.47
What do you think when an influencer is obviously selling a product?,Custom,your parents make? Upper class (> $240K),Get that money! ,34,0.225
What do you think when an influencer is obviously selling a product?,Custom,your parents make? Upper class (> $240K),Other (comment) ,13,0.086
What do you think when an influencer is obviously selling a product?,Custom,your parents make? Upper-middle class (~$160K,Is this product cool?,44,0.273
